name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
South Rural Road,1011,966303717,395,185,1,15.37,3,56,,primary,3,"LINESTRING (-111.9262989 33.4202366, -111.9262989 33.4201830, -111.9262980 33.4200980)",auto,1,0,,
South Mill Avenue,1012,976576558,263,538,1,38.85,4,56,,secondary,4,"LINESTRING (-111.9398969 33.4089933, -111.9398934 33.4086429)",auto,0,0,,
South Mill Avenue,1013,976576560,538,539,1,30.31,3,56,,secondary,4,"LINESTRING (-111.9398934 33.4086429, -111.9398915 33.4084526, -111.9398901 33.4083695)",auto,0,0,,
South Mill Avenue,1014,976576561,539,374,1,37.92,2,56,,secondary,4,"LINESTRING (-111.9398901 33.4083695, -111.9398844 33.4080275)",auto,0,0,,
,1015,989284359,465,228,1,88.7,1,,,primary,3,"LINESTRING (-111.9337225 33.4146441, -111.9336672 33.4146694, -111.9335229 33.4147046, -111.9329187 33.4147111, -111.9328584 33.4147234, -111.9328194 33.4147440, -111.9328050 33.4147645)",auto,0,1,,
,1016,989284360,319,318,1,57.4,,,,primary,3,"LINESTRING (-111.9322177 33.4147716, -111.9322444 33.4147502, -111.9323541 33.4147182, -111.9326208 33.4147143, -111.9326565 33.4147110, -111.9327120 33.4146986, -111.9327536 33.4146785, -111.9327940 33.4146458)",auto,0,1,,
East University Drive,1017,1002525088,225,151,1,90.94,2,56,,secondary,4,"LINESTRING (-111.9339909 33.4220122, -111.9348546 33.4220008, -111.9349690 33.4220021)",auto,0,0,,
East University Drive,1018,1002525089,521,486,1,299.98,2,56,,secondary,4,"LINESTRING (-111.9339885 33.4219235, -111.9332203 33.4219303, -111.9307620 33.4219520)",auto,0,0,,
South Mill Avenue,1019,1014049681,167,212,1,18.75,3,48,,primary,3,"LINESTRING (-111.9400253 33.4176249, -111.9400290 33.4174558)",auto,0,0,,
East 11th Street,1020,1014049682,213,120,1,296.51,,,,residential,6,"LINESTRING (-111.9398439 33.4174549, -111.9397819 33.4174542, -111.9396173 33.4174516, -111.9394931 33.4174529, -111.9383210 33.4174654, -111.9382156 33.4174665, -111.9381365 33.4174674, -111.9380448 33.4174661, -111.9367882 33.4174799, -111.9366550 33.4174833)",auto,0,0,,
South Rural Road,1021,1014049759,509,510,1,18.2,3,56,,primary,3,"LINESTRING (-111.9262808 33.4099305, -111.9262819 33.4100299, -111.9262820 33.4100486, -111.9262820 33.4100947)",auto,1,0,,
South Rural Road,1022,1014049759,510,509,1,18.2,3,56,,primary,3,"LINESTRING (-111.9262820 33.4100947, -111.9262820 33.4100486, -111.9262819 33.4100299, -111.9262808 33.4099305)",auto,1,0,,
,1023,1021750887,540,541,1,8.19,1,40,,residential,6,"LINESTRING (-111.9142053 33.4135599, -111.9142106 33.4135758, -111.9142217 33.4135894, -111.9142375 33.4135994, -111.9142562 33.4136046, -111.9142654 33.4136046)",auto,0,0,,
,1024,1021750887,541,542,1,9.08,1,40,,residential,6,"LINESTRING (-111.9142654 33.4136046, -111.9142759 33.4136047, -111.9142946 33.4135994, -111.9143103 33.4135895, -111.9143218 33.4135752, -111.9143270 33.4135586, -111.9143265 33.4135530)",auto,0,0,,
,1025,1021750887,542,218,1,8.92,1,40,,residential,6,"LINESTRING (-111.9143265 33.4135530, -111.9143253 33.4135415, -111.9143169 33.4135258, -111.9143027 33.4135134, -111.9142844 33.4135055, -111.9142640 33.4135032)",auto,0,0,,
,1026,1021750887,218,543,1,8.52,1,40,,residential,6,"LINESTRING (-111.9142640 33.4135032, -111.9142438 33.4135067, -111.9142262 33.4135155, -111.9142135 33.4135282, -111.9142063 33.4135435, -111.9142057 33.4135528)",auto,0,0,,
,1027,1021750887,543,540,1,0.79,1,40,,residential,6,"LINESTRING (-111.9142057 33.4135528, -111.9142053 33.4135599)",auto,0,0,,
East Hudson Drive,1028,1021750888,155,542,1,260.22,,40,,residential,6,"LINESTRING (-111.9171232 33.4136285, -111.9162486 33.4136181, -111.9150126 33.4135608, -111.9143265 33.4135530)",auto,1,0,,
East Hudson Drive,1029,1021750888,542,155,1,260.22,,40,,residential,6,"LINESTRING (-111.9143265 33.4135530, -111.9150126 33.4135608, -111.9162486 33.4136181, -111.9171232 33.4136285)",auto,1,0,,
South Oak Street,1030,1021750889,298,541,1,119.37,,40,,residential,6,"LINESTRING (-111.9142668 33.4146813, -111.9142653 33.4146107, -111.9142652 33.4145788, -111.9142626 33.4141892, -111.9142615 33.4140599, -111.9142654 33.4136046)",auto,1,0,,
South Oak Street,1031,1021750889,541,298,1,119.37,,40,,residential,6,"LINESTRING (-111.9142654 33.4136046, -111.9142615 33.4140599, -111.9142626 33.4141892, -111.9142652 33.4145788, -111.9142653 33.4146107, -111.9142668 33.4146813)",auto,1,0,,
,1032,1021750890,544,219,1,7.79,1,40,,residential,6,"LINESTRING (-111.9142110 33.4125947, -111.9142161 33.4126098, -111.9142267 33.4126228, -111.9142416 33.4126323, -111.9142595 33.4126373, -111.9142682 33.4126373)",auto,0,0,,
,1033,1021750890,219,545,1,8.65,1,40,,residential,6,"LINESTRING (-111.9142682 33.4126373, -111.9142782 33.4126373, -111.9142961 33.4126323, -111.9143111 33.4126228, -111.9143220 33.4126093, -111.9143270 33.4125934, -111.9143264 33.4125881)",auto,0,0,,
,1034,1021750890,545,546,1,8.5,1,40,,residential,6,"LINESTRING (-111.9143264 33.4125881, -111.9143253 33.4125771, -111.9143173 33.4125622, -111.9143038 33.4125503, -111.9142863 33.4125429, -111.9142669 33.4125407)",auto,0,0,,
,1035,1021750890,546,547,1,8.11,1,40,,residential,6,"LINESTRING (-111.9142669 33.4125407, -111.9142477 33.4125440, -111.9142309 33.4125524, -111.9142188 33.4125644, -111.9142120 33.4125790, -111.9142114 33.4125879)",auto,0,0,,
