name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,132,4084510566,,,,,,,-111.9237216,33.4075795,,,
,133,6496439526,,,,,,,-111.9237187,33.4079673,,,
,134,337827302,turning_circle,,,,,,-111.9232571,33.4112193,,,
,135,337830082,,,,,,,-111.9157251,33.4118492,,,
,136,41778986,,,,,,,-111.9142728,33.4116219,,,
,137,41657007,,,,,,,-111.9124617,33.4116335,,,
,138,42009170,,,,,,,-111.9108155,33.4116335,,,
,139,41638528,,,,,,,-111.9091033,33.4181939,,,
,140,,,,,,,,-111.9088,33.4181965,,,boundary node created by osm2gmns
,141,5200239407,,,,,,,-111.9177082,33.4200246,,,
,142,42208491,,,,,,,-111.9177365,33.4183756,,,
,143,1799680775,,,,,,,-111.9177396,33.4176616,,,
,144,41654681,,,,,,,-111.9177293,33.4166715,,,
,145,5200239406,,,,,,,-111.9176985,33.4151844,,,
,146,9423610430,,,,,,,-111.9124112,33.4135548,,,
,147,42254483,,,,,,,-111.9107726,33.4135536,,,
,148,2065989266,traffic_signals,,signal,,,,-111.938146,33.4218977,,,
,149,3712803330,,,,,,,-111.9381294,33.4205154,,,
,150,,,,,,,,-111.9349652,33.4221,,,boundary node created by osm2gmns
,151,41714339,traffic_signals,,signal,,,,-111.934969,33.4220021,,,
,152,41662598,,,,,,,-111.9399783,33.4162056,,,
,153,41533544,,,,,,,-111.941205,33.416204,,,
,154,330683972,,,,,,,-111.9171222,33.414605,,,
,155,42254473,,,,,,,-111.9171232,33.4136285,,,
,156,42348101,,,,,,,-111.9169767,33.4127174,,,
,157,41800245,,,,,,,-111.9289198,33.4202704,,,
,158,5414658105,,,,,,,-111.9278714,33.4202692,,,
,159,3983483499,,,,,,,-111.939166,33.4147167,,,
,160,3641512632,,,,,,,-111.9165151,33.4161595,,,
,161,4636339214,,,,,,,-111.9388999,33.4205078,,,
,162,9423610408,,,,,,,-111.9124088,33.4125927,,,
,163,42466187,,,,,,,-111.9107983,33.4126007,,,
,164,41638531,traffic_signals,,signal,,,,-111.909103,33.4174837,,,
,165,42485577,turning_circle,,,,,,-111.9138895,33.4176454,,,
,166,41883108,,,,,,,-111.9383164,33.4074206,,,
,167,41662596,,,,,,,-111.9400253,33.4176249,,,
,168,41533540,,,,,,,-111.94123,33.4176195,,,
,169,41638534,,,,,,,-111.909117,33.4161544,,,
,170,2065989254,,,,,,,-111.9408253,33.4147456,,,
,171,9567915832,,,,,,,-111.940196,33.4147084,,,
,172,2625358988,,,,,,,-111.9381424,33.4149982,,,
,173,2065989260,traffic_signals,,signal,,,,-111.939911,33.4147844,,,
,174,4346569402,,,,,,,-111.9399016,33.4142825,,,
,175,9899596285,,,,,,,-111.9329214,33.418336,,,
,176,5280009872,traffic_signals,,signal,,,,-111.928854,33.4184369,,,
,177,5200239622,,,,,,,-111.9349493,33.414314,,,
