name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Art Building,14,28822379,,yes,,,,"POLYGON ((-111.9371399 33.420346, -111.9375358 33.4203457, -111.9375359 33.420444, -111.9375165 33.420444, -111.9375165 33.4205087, -111.9375397 33.4205087, -111.9375398 33.4206628, -111.9371416 33.4206629, -111.9371416 33.4205211, -111.9371574 33.4205211, -111.9371573 33.4204507, -111.93714 33.4204507, -111.9371399 33.420346))",POINT (-111.9373392 33.420505),1271.8,13689.9
Art Warehouse,15,28822381,,yes,,,,"POLYGON ((-111.9376052 33.420781, -111.9376185 33.4207809, -111.9376181 33.4207235, -111.9380096 33.4207215, -111.9380128 33.4211554, -111.9376204 33.4211574, -111.9376198 33.421069, -111.9378842 33.4210677, -111.9378827 33.4208505, -111.9376057 33.4208519, -111.9376052 33.420781))",POINT (-111.9378458 33.4209283),1171.4,12609.1
Tower Center,16,28822436,,yes,,,,"POLYGON ((-111.9377119 33.4213923, -111.937545 33.4213932, -111.9375446 33.4213522, -111.9374846 33.4213526, -111.937485 33.4213978, -111.9374464 33.4213981, -111.9374495 33.4217929, -111.9376228 33.4217919, -111.9376202 33.4214738, -111.9377126 33.4214733, -111.9377119 33.4213923))",POINT (-111.9375465 33.4215713),813.5,8756.2
Tower Center,17,28822439,,yes,,,,"POLYGON ((-111.9376835 33.4215112, -111.9379942 33.4215092, -111.937996 33.4217, -111.9379482 33.4217003, -111.9379484 33.4217236, -111.9379142 33.4217238, -111.9379148 33.4217938, -111.9377826 33.4217946, -111.9377807 33.421577, -111.9376841 33.4215776, -111.9376835 33.4215112))",POINT (-111.9378639 33.4216292),622.6,6701.4
College of Design North,18,28822451,,yes,,,,"POLYGON ((-111.9367838 33.4213182, -111.9373213 33.4213174, -111.9373215 33.4214104, -111.9373669 33.4214103, -111.9373677 33.4217513, -111.9367847 33.4217522, -111.9367838 33.4213182))",POINT (-111.9370712 33.4215377),2564.1,27599.8
College of Design South,19,28822457,,yes,,,,"POLYGON ((-111.9368215 33.4211494, -111.9368214 33.421128, -111.936779 33.4211283, -111.9367774 33.4208963, -111.9374017 33.4208933, -111.9374033 33.4211223, -111.9373641 33.4211225, -111.9373642 33.4211467, -111.9368215 33.4211494))",POINT (-111.9370903 33.4210201),1610.6,17336.8
,20,28822538,,yes,,,,"POLYGON ((-111.9417329 33.4124705, -111.9420807 33.4127464, -111.9420482 33.4127765, -111.9420812 33.4128045, -111.9420545 33.4128267, -111.9422783 33.4130122, -111.9420799 33.4131782, -111.9418205 33.4129641, -111.9418597 33.4129318, -111.9418299 33.4129109, -111.9418188 33.4129032, -111.9418445 33.4128789, -111.9418098 33.4128494, -111.9415475 33.4126266, -111.9417329 33.4124705))",POINT (-111.9419177 33.412822),2036.1,21915.9
,21,28822558,,hospital,,,,"POLYGON ((-111.9408683 33.4128269, -111.9406262 33.4128267, -111.9404386 33.4128254, -111.9404421 33.4127781, -111.9403805 33.4127756, -111.9403785 33.4127048, -111.940278 33.4127026, -111.9402787 33.4125626, -111.9402234 33.4125599, -111.9402332 33.4124654, -111.9403754 33.4124626, -111.9403771 33.4124414, -111.9402569 33.4124414, -111.9402586 33.4122024, -111.9402236 33.4121953, -111.9401968 33.4121657, -111.940195 33.4121213, -111.9402223 33.4120917, -111.9402598 33.4120834, -111.9402598 33.4117177, -111.9402683 33.4117165, -111.9402659 33.4116598, -111.9404332 33.4116599, -111.9404308 33.4117154, -111.9404159 33.4117161, -111.9404139 33.4117673, -111.9406328 33.4117665, -111.9406326 33.4117509, -111.9407282 33.4117513, -111.9407271 33.4119234, -111.940839 33.4119255, -111.9408376 33.4119556, -111.940854 33.4119567, -111.9408498 33.4121119, -111.9407957 33.4121112, -111.9407857 33.4124014, -111.9408163 33.4124024, -111.9408195 33.412342, -111.940921 33.4123412, -111.9409278 33.4122201, -111.9414903 33.4122197, -111.9414883 33.412398, -111.941719 33.4124018, -111.9417224 33.412327, -111.9420216 33.4123303, -111.942025 33.4124406, -111.9414157 33.4124364, -111.9414182 33.412564, -111.9408059 33.412572, -111.9408059 33.4126052, -111.9408058 33.4127254, -111.9408679 33.4127259, -111.9408684 33.4127761, -111.9408683 33.4128269))",POINT (-111.9407547 33.4123099),8630.2,92894.5
Graduate Tempe,22,28822616,,yes,,,,"POLYGON ((-111.9366464 33.4142282, -111.9366456 33.4143904, -111.9364583 33.4143909, -111.9364587 33.4143053, -111.9361595 33.4143093, -111.9361636 33.4144543, -111.9358121 33.4144581, -111.9358108 33.4142699, -111.935863 33.4142688, -111.93586 33.4141249, -111.9364445 33.4141199, -111.9364455 33.4142311, -111.9366464 33.4142282))",POINT (-111.9361695 33.4142758),1991.1,21432.0
Memorial Union,23,28822637,,yes,community_centre,,,"POLYGON ((-111.9339228 33.4172055, -111.9347888 33.4172055, -111.9347888 33.4175422, -111.9347208 33.4175422, -111.9347208 33.4175923, -111.9347888 33.4175923, -111.9347888 33.4178431, -111.9346608 33.4178431, -111.9346608 33.4180222, -111.9347978 33.4180222, -111.9347978 33.4182085, -111.9346518 33.4182085, -111.9346518 33.4181655, -111.9344548 33.4181655, -111.9344548 33.4182085, -111.9342308 33.4182085, -111.9342308 33.4181726, -111.9339738 33.4181726, -111.9339738 33.4176067, -111.9339228 33.4176067, -111.9339228 33.4172055))",POINT (-111.9343609 33.4176835),8200.3,88267.6
Hayden Library,24,28822655,,yes,library,,,"POLYGON ((-111.9342793 33.4185763, -111.9348754 33.418575, -111.9348781 33.4194702, -111.9342821 33.4194714, -111.9342793 33.4185763))",POINT (-111.9345787 33.4190232),5499.7,59197.9
Hayden Library Entrance,25,28822657,,yes,library,,,"POLYGON ((-111.9351384 33.4187355, -111.9354302 33.4187355, -111.9354302 33.4189791, -111.9353279 33.4189803, -111.9353216 33.4189945, -111.9353091 33.4190082, -111.9352956 33.4190153, -111.9352812 33.4190156, -111.9352666 33.4190148, -111.9352443 33.4190031, -111.9352349 33.4189938, -111.9352303 33.4189795, -111.9351384 33.4189791, -111.9351384 33.4187355))",POINT (-111.9352842 33.4188625),761.4,8195.4
Danforth Chapel,26,28822660,,chapel,,,,"POLYGON ((-111.9353821 33.4185737, -111.9353821 33.4184734, -111.9352448 33.4184734, -111.9352448 33.4185737, -111.9353821 33.4185737))",POINT (-111.9353134 33.4185236),141.9,1527.9
Wilson Hall,27,28822669,,yes,,,,"POLYGON ((-111.9363981 33.41845, -111.9355039 33.4184584, -111.9355039 33.4185818, -111.9359599 33.4185767, -111.9359568 33.4186204, -111.9364159 33.4186127, -111.9363981 33.41845))",POINT (-111.9359876 33.4185275),1337.3,14394.3
