name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Best Hall B,97,30407905,,residential,,,,"POLYGON ((-111.9364341 33.4153712, -111.9358247 33.4153712, -111.9358247 33.4154858, -111.9364341 33.4154858, -111.9364341 33.4154189, -111.9364341 33.4153712))",POINT (-111.9361294 33.4154285),719.9,7748.7
Best Hall A,98,30407912,,residential,,,,"POLYGON ((-111.9358285 33.4159746, -111.936232 33.4159746, -111.9364465 33.4159746, -111.9364465 33.4158528, -111.9358285 33.4158528, -111.9358285 33.4159746))",POINT (-111.9361375 33.4159137),775.9,8351.7
Best Hall C,99,30407915,,residential,,,,"POLYGON ((-111.9363243 33.4155766, -111.9358952 33.4155766, -111.9358952 33.4157628, -111.9363243 33.4157628, -111.9363243 33.4155766))",POINT (-111.9361098 33.4156697),823.6,8865.0
Best Hall C,100,30407919,,residential,,,,"POLYGON ((-111.9358046 33.4158026, -111.9358904 33.4158026, -111.9358904 33.4155375, -111.9358046 33.4155375, -111.9358046 33.4158026))",POINT (-111.9358475 33.41567),234.5,2523.7
Irish Hall A (Academic Offices),101,30407930,,residential,,,,"POLYGON ((-111.9351876 33.4154548, -111.9353077 33.4154548, -111.9353077 33.4159133, -111.9351876 33.4159133, -111.9351876 33.415678, -111.9351876 33.4154548))",POINT (-111.9352477 33.415684),567.6,6109.8
Chuparosa Hall,102,30407982,,residential,,,,"POLYGON ((-111.9299338 33.4151913, -111.9299336 33.4150357, -111.9301123 33.4150356, -111.9301125 33.4151915, -111.9302754 33.4151914, -111.930275 33.4148974, -111.9297654 33.4148978, -111.9297657 33.4151915, -111.9299338 33.4151913))",POINT (-111.9300198 33.4150288),1256.7,13526.6
Acacia Hall,103,30407994,,residential,,,,"POLYGON ((-111.9302754 33.4151914, -111.9302756 33.4152274, -111.9302777 33.4155324, -111.9298615 33.4155345, -111.9298595 33.4152497, -111.9299347 33.4152493, -111.9299357 33.4153953, -111.9301131 33.4153945, -111.9301125 33.4151915, -111.9302754 33.4151914))",POINT (-111.9300913 33.4153932),1049.5,11296.8
Jojoba Hall,104,30407997,,residential,,,,"POLYGON ((-111.9294317 33.4153188, -111.9294315 33.4151194, -111.9296063 33.4151193, -111.9296064 33.4152597, -111.9296814 33.4152597, -111.9296813 33.4149808, -111.9292655 33.4149809, -111.9292681 33.4153193, -111.9294317 33.4153188))",POINT (-111.929451 33.4151196),1039.6,11190.0
Arroyo Hall,105,30408001,,residential,,,,"POLYGON ((-111.9292681 33.4153193, -111.9292693 33.4157326, -111.9294267 33.4157322, -111.9294252 33.4154506, -111.9296069 33.41545, -111.9296076 33.4155987, -111.9296854 33.4155984, -111.929684 33.4153179, -111.9294317 33.4153188, -111.9292681 33.4153193))",POINT (-111.9294425 33.415482),1140.3,12273.7
Mohave Hall,106,30408013,,residential,,,,"POLYGON ((-111.9292693 33.4157326, -111.9294267 33.4157322, -111.9299646 33.415731, -111.9299651 33.4158687, -111.9292698 33.4158704, -111.9292693 33.4157326))",POINT (-111.9296171 33.4158007),987.4,10628.4
University Services Building,107,30408132,,university,,,,"POLYGON ((-111.9259685 33.4112592, -111.9255305 33.4112592, -111.9255305 33.4113953, -111.9247405 33.4113953, -111.924743 33.4117312, -111.9255305 33.4117249, -111.9255305 33.4121547, -111.9255645 33.4121834, -111.9256675 33.4122121, -111.9258305 33.4122121, -111.9259335 33.4121906, -111.9259685 33.4121619, -111.9259685 33.4112592))",POINT (-111.9255105 33.4116643),6953.3,74844.6
Central Plant South,108,30408166,,yes,,,,"POLYGON ((-111.9282824 33.4111839, -111.9290294 33.4111839, -111.9290294 33.4113702, -111.9287894 33.4113702, -111.9287894 33.4112842, -111.9286694 33.4112842, -111.9286694 33.4113702, -111.9282824 33.4113702, -111.9282824 33.4111839))",POINT (-111.92865 33.411273),1328.2,14296.6
Sonora Center,109,30408176,,university,,,,"POLYGON ((-111.9273852 33.4113358, -111.9273852 33.4114791, -111.9271962 33.4116725, -111.9271362 33.4116582, -111.9270932 33.4116654, -111.9270672 33.411694, -111.9270762 33.411737, -111.9271012 33.41178, -111.9271012 33.4118302, -111.9270332 33.4118302, -111.9270412 33.4121311, -111.9272132 33.4122959, -111.9272132 33.4126039, -111.9277855 33.4125937, -111.9278244 33.4125675, -111.9278142 33.412346, -111.9276852 33.4122529, -111.9276592 33.4122171, -111.9276682 33.4121812, -111.9276252 33.4121526, -111.9275652 33.4121526, -111.9275312 33.4121812, -111.9275132 33.4122242, -111.9276252 33.4123317, -111.9276252 33.412475, -111.9273422 33.412475, -111.9273422 33.4122242, -111.9271872 33.4120881, -111.9271872 33.4118445, -111.9275132 33.4115149, -111.9275132 33.4114504, -111.9277112 33.4114504, -111.9279252 33.4116296, -111.9279252 33.4117084, -111.9277112 33.4118947, -111.9277802 33.4119663, -111.9280202 33.4117514, -111.9280202 33.4115508, -111.9277622 33.4113358, -111.9273852 33.4113358))",POINT (-111.9274931 33.4119896),4260.5,45860.0
Daley Park,110,30588254,,,,park,,"POLYGON ((-111.9338451 33.4096687, -111.9338964 33.4096873, -111.9339487 33.409691, -111.9344681 33.4096897, -111.9348083 33.4096872, -111.9348376 33.4096982, -111.9348523 33.4097167, -111.9348599 33.4103245, -111.9348648 33.4107835, -111.9306029 33.4108115, -111.9306011 33.4093869, -111.9311263 33.4093847, -111.9316482 33.4093817, -111.9325768 33.4093743, -111.9333239 33.4093751, -111.9337106 33.4093765, -111.9337453 33.4093961, -111.9337667 33.4094174, -111.9337937 33.4096193, -111.9338175 33.4096483, -111.9338451 33.4096687))",POINT (-111.932632 33.410121),58809.2,633016.8
SDFC Field,111,65014628,,,,park,,"POLYGON ((-111.93266 33.4173376, -111.9314019 33.4173484, -111.9313114 33.4173709, -111.9302844 33.4173809, -111.9302143 33.4173531, -111.9301839 33.4166503, -111.9300847 33.4165812, -111.9296264 33.4165832, -111.930246 33.4159691, -111.9322288 33.4159577, -111.9326435 33.41615, -111.93266 33.4173376))",POINT (-111.9313414 33.416656),36559.5,393522.7
,112,65015456,,parking,parking,,,"POLYGON ((-111.9346678 33.4159999, -111.9346612 33.4159033, -111.934665 33.415098, -111.934664 33.4149759, -111.9336286 33.4149852, -111.9333664 33.4149876, -111.9333671 33.4150403, -111.9333681 33.4151301, -111.9333735 33.4155441, -111.9333744 33.41561, -111.9333789 33.4159615, -111.9334311 33.4159611, -111.9334296 33.4160036, -111.9338448 33.4160024, -111.9346678 33.4159999))",POINT (-111.93402 33.4154899),13548.4,145833.2
,113,65200245,,,parking,,,"POLYGON ((-111.9351965 33.4163441, -111.9351965 33.4162008, -111.9360334 33.4162008, -111.9362104 33.4162724, -111.9362104 33.4164068, -111.9360226 33.4163351, -111.9351965 33.4163441))",POINT (-111.9356984 33.4162761),1446.0,15564.5
,114,65381795,,,parking,,,"POLYGON ((-111.9338082 33.4145673, -111.9338002 33.4141764, -111.9329455 33.4141777, -111.9329016 33.4141687, -111.9329016 33.4145673, -111.9338082 33.4145673))",POINT (-111.9333529 33.4143724),3632.7,39101.9
,115,65405079,,,bus_station,,,"POLYGON ((-111.9365698 33.4159545, -111.9366235 33.4159544, -111.9366121 33.4151484, -111.9365698 33.4151485, -111.9365698 33.4159545))",POINT (-111.9365939 33.4155674),398.8,4292.6
Noble Science and Engineering Library,116,157628503,,university,,,,"POLYGON ((-111.9310256 33.4201949, -111.9310213 33.4197223, -111.9308501 33.4197234, -111.9308502 33.4197349, -111.9308034 33.4197352, -111.930803 33.4196838, -111.9303815 33.4196862, -111.9303825 33.419799, -111.9302879 33.4197995, -111.9302906 33.4201372, -111.9303642 33.4201991, -111.9310256 33.4201949))",POINT (-111.9306614 33.4199516),3651.0,39298.7
Gammage Lawn,117,157628545,,,,park,,"POLYGON ((-111.938038 33.4173718, -111.9380316 33.4174071, -111.9380032 33.4174257, -111.9367614 33.4174431, -111.9367359 33.4174367, -111.9367109 33.4174234, -111.9366973 33.4174019, -111.936695 33.417371, -111.9366822 33.4163044, -111.936706 33.4162822, -111.9367357 33.4162668, -111.9370563 33.4162962, -111.9372572 33.416344, -111.9372759 33.4163558, -111.9372837 33.4163718, -111.9372854 33.4164685, -111.9372931 33.4165202, -111.9373042 33.4165592, -111.9373416 33.4166356, -111.9373998 33.4167101, -111.9374535 33.4167575, -111.9375177 33.4168005, -111.9376024 33.4168391, -111.9376734 33.4168592, -111.9377586 33.4168742, -111.9378628 33.4168755, -111.9378757 33.4168779, -111.9378849 33.4168836, -111.9379199 33.4169263, -111.9379551 33.4169821, -111.9379771 33.4170226, -111.9379969 33.4170722, -111.938009 33.4171219, -111.9380167 33.4171832, -111.938038 33.4173718))",POINT (-111.9372325 33.4169655),11584.9,124698.5
,118,157628546,,,fountain,,,"POLYGON ((-111.938727 33.4162258, -111.9387584 33.4162112, -111.9387738 33.4162097, -111.9387986 33.4162137, -111.9388205 33.4162258, -111.9388327 33.4162399, -111.9388399 33.4162649, -111.9388397 33.4162688, -111.938834 33.4162877, -111.9388206 33.4163039, -111.9388 33.4163156, -111.9387738 33.4163201, -111.9387528 33.4163172, -111.938727 33.4163039, -111.9387147 33.4162875, -111.9387076 33.4162649, -111.9387135 33.4162422, -111.938727 33.4162258))",POINT (-111.938774 33.4162649),114.8,1235.6
,119,162574965,,yes,,,,"POLYGON ((-111.9247762 33.4218515, -111.9246024 33.4218531, -111.9245915 33.421037, -111.9246553 33.4210364, -111.9246546 33.4209842, -111.9249169 33.4209818, -111.9249173 33.4210083, -111.9251397 33.4210063, -111.9251419 33.4211694, -111.9249002 33.4211716, -111.9248995 33.4211151, -111.9247664 33.4211163, -111.9247757 33.4218124, -111.9247762 33.4218515))",POINT (-111.9247625 33.4213286),2115.7,22773.6
ISTB 4,120,221569489,,university,,,,"POLYGON ((-111.928706 33.4178915, -111.9287079 33.4181903, -111.9286802 33.4182099, -111.9286782 33.4183253, -111.9282909 33.418326, -111.928287 33.4183107, -111.9282564 33.4183133, -111.928253 33.4183263, -111.9282102 33.4183276, -111.9282067 33.4182752, -111.9281446 33.4182742, -111.9281453 33.4182226, -111.9280805 33.4182223, -111.928084 33.4177248, -111.9286619 33.417723, -111.9286622 33.4177543, -111.9286965 33.4177556, -111.9286957 33.4178693, -111.9286623 33.4178696, -111.928661 33.4178901, -111.928704 33.417893, -111.928706 33.4178915))",POINT (-111.928396 33.4180176),3697.3,39797.5
Tempe LDS Institute of Religion,121,221569491,,yes,place_of_worship,,,"POLYGON ((-111.929946 33.4187024, -111.9297961 33.4187033, -111.9297952 33.4185978, -111.929556 33.4185992, -111.9295564 33.4185679, -111.9294597 33.418568, -111.9294599 33.4185984, -111.9292548 33.4185997, -111.9292557 33.4187097, -111.9290812 33.4187108, -111.9290825 33.4188593, -111.9292246 33.4188585, -111.9292248 33.4188844, -111.9292491 33.4188843, -111.9292499 33.4189796, -111.9294584 33.4189784, -111.9294586 33.4190044, -111.929565 33.4190038, -111.9295648 33.4189759, -111.9297668 33.4189747, -111.929766 33.4188809, -111.9297959 33.4188808, -111.9297957 33.4188588, -111.9299473 33.4188579, -111.929946 33.4187024))",POINT (-111.9295163 33.4187859),2660.3,28635.3
,122,221569492,,yes,parking,,,"POLYGON ((-111.9300044 33.4195661, -111.9299376 33.4195664, -111.929938 33.419613, -111.92914 33.4196173, -111.9291396 33.4195625, -111.9290659 33.4195629, -111.9290656 33.4195148, -111.9290633 33.4192138, -111.929063 33.419174, -111.9291304 33.4191737, -111.92913 33.4191239, -111.9299349 33.4191199, -111.9299353 33.419175, -111.9300015 33.4191747, -111.9300044 33.4195661))",POINT (-111.9295342 33.4193684),4625.6,49789.5
,123,221570313,,,parking,,,"POLYGON ((-111.918106 33.4123902, -111.9179598 33.4123879, -111.9179611 33.4123294, -111.9181074 33.4123317, -111.918106 33.4123902))",POINT (-111.9180336 33.4123598),88.2,949.7
,124,221570314,,,parking,,,"POLYGON ((-111.9178884 33.412386, -111.9177852 33.4123885, -111.9177832 33.41233, -111.9178864 33.4123276, -111.9178884 33.412386))",POINT (-111.9178358 33.412358),62.2,669.8
,125,221570315,,,parking,,,"POLYGON ((-111.9176925 33.4121917, -111.9174883 33.4121792, -111.9174799 33.4119626, -111.9173041 33.4119626, -111.9172974 33.4118158, -111.9174698 33.4118172, -111.9174715 33.4118578, -111.9175402 33.4118564, -111.9175435 33.4118074, -111.9174966 33.4118088, -111.9174916 33.4112708, -111.9163683 33.411275, -111.9163632 33.4112275, -111.9163348 33.4112275, -111.9163348 33.4112485, -111.9162276 33.4114483, -111.9161674 33.4114441, -111.9160585 33.4113952, -111.9161473 33.4112359, -111.9160736 33.4112275, -111.9161121 33.4112443, -111.9160602 33.4113309, -111.9160083 33.4113183, -111.9159782 33.4113603, -111.9159062 33.4113337, -111.9159213 33.411261, -111.9159079 33.4112359, -111.9158761 33.4112149, -111.9158225 33.4112107, -111.9157957 33.4112233, -111.9157739 33.4112401, -111.9157689 33.4112694, -111.9156216 33.4112247, -111.9156316 33.4111898, -111.9155446 33.4111786, -111.9155463 33.4111129, -111.9176138 33.4110933, -111.9176875 33.4111548, -111.9176925 33.4121917))",POINT (-111.9169543 33.4113951),6062.9,65260.5
,126,221570316,,,,pitch,,"POLYGON ((-111.91675 33.4123553, -111.916576 33.4123455, -111.9165949 33.4121103, -111.9167688 33.41212, -111.91675 33.4123553))",POINT (-111.9166724 33.4122328),423.7,4561.0
,127,221570317,,,,playground,,"POLYGON ((-111.9161056 33.4120621, -111.9160565 33.4120627, -111.9159943 33.4120395, -111.9159626 33.4120035, -111.9159604 33.4119573, -111.9159676 33.4119151, -111.9159549 33.4118824, -111.915931 33.4118444, -111.9159202 33.4118058, -111.91593 33.411759, -111.9159679 33.4117209, -111.9159868 33.411696, -111.9159951 33.4116619, -111.9160097 33.4116384, -111.9160357 33.4116159, -111.9160699 33.4115958, -111.9161011 33.4115955, -111.9162719 33.4116455, -111.916329 33.411694, -111.9163764 33.4117692, -111.9163566 33.4118157, -111.9163514 33.4118399, -111.916377 33.4118657, -111.9164098 33.4118933, -111.9164191 33.4119356, -111.9164062 33.4119646, -111.9163668 33.411984, -111.9163248 33.4119819, -111.916285 33.4119642, -111.9162639 33.4119249, -111.9162675 33.4119004, -111.9162598 33.4118587, -111.9162334 33.411817, -111.9162062 33.4118132, -111.9161846 33.411827, -111.916172 33.4118548, -111.9161702 33.4118869, -111.9161942 33.411939, -111.9161905 33.4119924, -111.9161528 33.4120375, -111.9161056 33.4120621))",POINT (-111.9161448 33.4118235),1505.9,16209.5
,128,221570328,,,,swimming_pool,,"POLYGON ((-111.9179608 33.4125303, -111.9179307 33.4125052, -111.9179109 33.4125052, -111.9179143 33.4125325, -111.9178747 33.4125619, -111.9178773 33.4125971, -111.9178885 33.4126036, -111.9179057 33.4126079, -111.9179634 33.4125648, -111.9179608 33.4125303))",POINT (-111.9179197 33.4125587),57.4,617.6
Creamery Park,129,242882054,,,,park,,"POLYGON ((-111.9122625 33.4205663, -111.9122377 33.4199519, -111.9122325 33.4196448, -111.9123842 33.419643, -111.9136595 33.4196365, -111.9136414 33.4198455, -111.9131878 33.4203907, -111.9130717 33.4204997, -111.9129773 33.4205451, -111.9122625 33.4205663))",POINT (-111.9128454 33.4200499),10986.9,118262.2
,130,256984974,,yes,,,,"POLYGON ((-111.9393339 33.4222806, -111.9388176 33.4222854, -111.9388218 33.4223953, -111.938822 33.4225013, -111.9386919 33.4224967, -111.9386874 33.4223808, -111.9386692 33.4223802, -111.9386702 33.4223002, -111.9386389 33.4223015, -111.9386361 33.4220757, -111.9388112 33.4220716, -111.9388129 33.4220993, -111.9393317 33.4221028, -111.9393339 33.4222806))",POINT (-111.9389314 33.4222258),1671.1,17987.6
Agave Hall,131,256986544,,dormitory,,,,"POLYGON ((-111.928965 33.4154856, -111.9289645 33.4153971, -111.9289464 33.4153926, -111.9289462 33.4153657, -111.9289432 33.4151163, -111.9289626 33.4151142, -111.9289621 33.4149547, -111.9284671 33.4149572, -111.9284661 33.414969, -111.9281221 33.4149668, -111.9281221 33.4150189, -111.9281011 33.4150197, -111.9280991 33.4150829, -111.9284917 33.4150862, -111.9284942 33.4150728, -111.9288268 33.4150726, -111.9288263 33.4152186, -111.928803 33.4152236, -111.9288099 33.4154194, -111.9287879 33.4154168, -111.9287879 33.4154837, -111.928965 33.4154856))",POINT (-111.9286628 33.4151196),1624.8,17489.6
Sage Hall,132,256986545,,dormitory,,,,"POLYGON ((-111.928674 33.4154205, -111.928674 33.4152941, -111.9286462 33.4152878, -111.9286482 33.4152703, -111.9280275 33.4152606, -111.9280268 33.415401, -111.9285399 33.4154044, -111.9285419 33.4154682, -111.928376 33.4154676, -111.9283813 33.4158383, -111.9286063 33.4158369, -111.928607 33.415468, -111.9285709 33.415467, -111.9285709 33.4154151, -111.928674 33.4154205))",POINT (-111.9284208 33.4154884),1813.4,19519.3
Cereus Hall,133,256986546,,dormitory,,,,"POLYGON ((-111.9279523 33.4153887, -111.9279527 33.4149605, -111.9274442 33.4149609, -111.927432 33.4149711, -111.9271515 33.414969, -111.9271515 33.4150326, -111.9271662 33.4150309, -111.9271642 33.4150487, -111.9271632 33.4151052, -111.9272435 33.415106, -111.927244 33.4150878, -111.9274742 33.4150916, -111.9274757 33.4150789, -111.9278111 33.4150776, -111.9278091 33.4152956, -111.9277923 33.4152948, -111.9277933 33.4153529, -111.9276922 33.4153525, -111.9276912 33.4154237, -111.9278868 33.4154227, -111.9278868 33.4153917, -111.9279523 33.4153887))",POINT (-111.9276634 33.4151139),1566.9,16866.3
Cottonwood Hall,134,256986547,,dormitory,,,,"POLYGON ((-111.9270794 33.4155215, -111.927077 33.4154335, -111.9270636 33.414953, -111.926923 33.4149557, -111.9269284 33.4151508, -111.9268991 33.4151514, -111.9269071 33.4154367, -111.9269106 33.4155615, -111.926986 33.41556, -111.926985 33.4155233, -111.9270794 33.4155215))",POINT (-111.92699 33.4152592),965.8,10395.9
Vista Del Sol I,135,256986549,,residential,,,,"POLYGON ((-111.9304345 33.4144974, -111.9302345 33.4145005, -111.9302335 33.4144577, -111.9302105 33.4144581, -111.9302115 33.4145006, -111.9300785 33.4145027, -111.9300775 33.4144543, -111.9300495 33.4144547, -111.9300505 33.4144923, -111.9299265 33.4144942, -111.9299255 33.4144497, -111.9299025 33.4144501, -111.9299005 33.414356, -111.9299285 33.4143556, -111.9299275 33.4143042, -111.9300395 33.4143024, -111.9300405 33.4143471, -111.9300805 33.4143465, -111.9300795 33.4143003, -111.9302075 33.4142984, -111.9302085 33.4143463, -111.9302425 33.4143458, -111.9302415 33.4143089, -111.9303215 33.4143076, -111.9303185 33.4141825, -111.9302465 33.4141836, -111.9302455 33.4141443, -111.9301965 33.4141451, -111.9301975 33.4141913, -111.9300745 33.4141932, -111.9300735 33.414152, -111.9300355 33.4141468, -111.9300375 33.4141883, -111.9299325 33.4141909, -111.9299315 33.414152, -111.9298975 33.4141451, -111.9298945 33.4140429, -111.9299235 33.4140423, -111.9299215 33.4139992, -111.9300405 33.4139966, -111.9300415 33.414046, -111.9300815 33.4140452, -111.9300795 33.4139987, -111.9301975 33.4139961, -111.9301995 33.4140471, -111.9302435 33.4140461, -111.9302425 33.4140009, -111.9304205 33.4139971, -111.9304215 33.4140276, -111.9304755 33.4140264, -111.9304785 33.4141384, -111.9304315 33.4141394, -111.9304335 33.414202, -111.9304805 33.414201, -111.9304835 33.414289, -111.9304305 33.4142901, -111.9304325 33.4143495, -111.9304815 33.4143484, -111.9304855 33.4144772, -111.9304395 33.4144782, -111.9304345 33.4144974))",POINT (-111.9302065 33.4142517),2228.9,23991.4
Vista Del Sol J (West Tower),136,256986550,,residential,,,,"POLYGON ((-111.9297476 33.4144601, -111.9297265 33.4144604, -111.9297272 33.4145007, -111.9295961 33.4145022, -111.9295953 33.4144521, -111.9295296 33.4144528, -111.9295305 33.4145048, -111.9293188 33.4145073, -111.9293184 33.4144876, -111.9292725 33.4144881, -111.9292642 33.414019, -111.9293183 33.4140183, -111.9293176 33.4139812, -111.9295161 33.4139788, -111.929517 33.4140269, -111.9295761 33.4140262, -111.9295755 33.4139946, -111.9297183 33.4139929, -111.929719 33.4140343, -111.929749 33.4140339, -111.9297509 33.4141489, -111.9297109 33.4141494, -111.9297116 33.4141933, -111.9296046 33.4141945, -111.9296038 33.4141463, -111.929526 33.4141472, -111.9295268 33.4141947, -111.9294857 33.4141952, -111.9294875 33.4143031, -111.9295283 33.4143027, -111.929529 33.4143466, -111.9295931 33.4143459, -111.9295925 33.4143083, -111.9297061 33.414307, -111.9297068 33.4143518, -111.9297458 33.4143514, -111.9297476 33.4144601))",POINT (-111.9294832 33.4142438),2052.0,22087.7
Vista Del Sol G,137,256986551,,residential,,,,"POLYGON ((-111.9304675 33.4138817, -111.9304285 33.4138818, -111.9304285 33.4139011, -111.9302345 33.4139013, -111.9302345 33.413856, -111.9302025 33.4138561, -111.9302035 33.4138962, -111.9300925 33.4138963, -111.9300925 33.4138451, -111.9300375 33.4138451, -111.9300375 33.4138889, -111.9299245 33.4138891, -111.9299245 33.4138508, -111.9299035 33.4138473, -111.9299025 33.4137451, -111.9299255 33.4137449, -111.9299255 33.4137043, -111.9300405 33.4137035, -111.9300415 33.413745, -111.9300735 33.4137448, -111.9300735 33.4136973, -111.9301995 33.4136964, -111.9301995 33.4137467, -111.9302435 33.4137464, -111.9302425 33.4137026, -111.9303175 33.413702, -111.9303165 33.4135795, -111.9302555 33.4135799, -111.9302545 33.4135382, -111.9301885 33.4135387, -111.9301885 33.4135808, -111.9301055 33.4135813, -111.9301055 33.4135328, -111.9300225 33.4135334, -111.9300225 33.4135839, -111.9299235 33.4135846, -111.9299235 33.4135479, -111.9298925 33.4135481, -111.9298915 33.4134461, -111.9299245 33.4134391, -111.9299245 33.4133988, -111.9300365 33.4133986, -111.9300365 33.4134529, -111.9300865 33.4134529, -111.9300865 33.4134093, -111.9301885 33.4134092, -111.9301885 33.4134527, -111.9302525 33.4134527, -111.9302525 33.4134091, -111.9304625 33.4134088, -111.9304625 33.4135389, -111.9304315 33.413539, -111.9304315 33.4135896, -111.9304895 33.4135895, -111.9304895 33.4137032, -111.9304375 33.4137032, -111.9304375 33.4137399, -111.9304845 33.4137399, -111.9304845 33.4138643, -111.9304675 33.4138643, -111.9304675 33.4138817))",POINT (-111.9302123 33.4136577),2122.8,22850.1
Vista Del Sol H,138,256986552,,residential,,,,"POLYGON ((-111.9297885 33.4137457, -111.9297445 33.4137456, -111.9297445 33.4138849, -111.9296865 33.4138849, -111.9296865 33.4138446, -111.9296365 33.4138445, -111.9296365 33.413895, -111.9294355 33.4138948, -111.9294355 33.4138774, -111.9293795 33.4138774, -111.9293795 33.4137358, -111.9294485 33.4137359, -111.9294425 33.4136975, -111.9293885 33.4136971, -111.9293895 33.4135924, -111.9294505 33.4135928, -111.9294505 33.4135471, -111.9293925 33.4135467, -111.9293945 33.4133978, -111.9296195 33.4133995, -111.9296185 33.4134487, -111.9296755 33.4134491, -111.9296755 33.4134007, -111.9297485 33.4134013, -111.9297475 33.4135296, -111.9298055 33.41353, -111.9298045 33.4135955, -111.9296805 33.4135946, -111.9296695 33.4135492, -111.9296465 33.4135492, -111.9296465 33.4136014, -111.9295875 33.4136013, -111.9295875 33.413705, -111.9296405 33.4137051, -111.9296395 33.4137435, -111.9296855 33.4137436, -111.9296855 33.4137001, -111.9297885 33.4137001, -111.9297885 33.4137457))",POINT (-111.9295635 33.4136455),1566.1,16857.7
Vista Del Sol K (East Tower),139,256986553,,commercial;residential,,,,"POLYGON ((-111.9290373 33.4144731, -111.9290042 33.4144732, -111.9290043 33.4144909, -111.9289752 33.4144859, -111.9289687 33.4145118, -111.9287585 33.4145126, -111.9287583 33.4144694, -111.9287119 33.4144695, -111.9287112 33.4143388, -111.9287616 33.4143386, -111.9287613 33.4142984, -111.9288403 33.4142981, -111.9288397 33.4142043, -111.9287642 33.4142046, -111.9287639 33.4141578, -111.928724 33.414158, -111.9287233 33.4140348, -111.9287583 33.4140346, -111.928758 33.4139854, -111.9289987 33.4139844, -111.9289989 33.4140226, -111.9290345 33.4140225, -111.9290373 33.4144731))",POINT (-111.9288886 33.4142498),1497.7,16121.1
,140,256986554,,yes,,,,"POLYGON ((-111.9288843 33.4138853, -111.9287087 33.4138487, -111.9287066 33.413676, -111.9288864 33.4136307, -111.9290055 33.4137545, -111.9288843 33.4138853))",POINT (-111.9288376 33.4137588),549.0,5909.2
Vista Del Sol F,141,256986555,,residential,,,,"POLYGON ((-111.9301727 33.4132515, -111.9301477 33.4132511, -111.9301477 33.4132656, -111.9301117 33.4132651, -111.9301107 33.4132835, -111.9299967 33.4132819, -111.9299977 33.4132478, -111.9299837 33.4132459, -111.9299787 33.4132284, -111.9299257 33.4132296, -111.9299227 33.4131277, -111.9299777 33.4131265, -111.9299767 33.4130982, -111.9299367 33.4130991, -111.9299227 33.4130829, -111.9299187 33.4129846, -111.9299307 33.4129819, -111.9299307 33.4129574, -111.9299657 33.4129579, -111.9299657 33.4129395, -111.9299187 33.4129388, -111.9299207 33.412827, -111.9299717 33.4128278, -111.9299727 33.4128146, -111.9299907 33.4128149, -111.9299907 33.412795, -111.9300167 33.4127954, -111.9300177 33.412769, -111.9301197 33.4127705, -111.9301197 33.4127896, -111.9301527 33.4127901, -111.9301527 33.4128037, -111.9301717 33.412804, -111.9301687 33.4129226, -111.9301477 33.4129223, -111.9301477 33.4129396, -111.9301147 33.4129391, -111.9301137 33.4129717, -111.9301657 33.4129725, -111.9301637 33.4130919, -111.9301207 33.4130913, -111.9301197 33.4131189, -111.9301577 33.4131195, -111.9301577 33.4131345, -111.9301747 33.4131348, -111.9301727 33.4132515))",POINT (-111.9300487 33.413027),1133.6,12201.8
,142,256986556,,,,swimming_pool,,"POLYGON ((-111.9296359 33.4131258, -111.929607 33.4131194, -111.9295941 33.4131208, -111.9295554 33.4131343, -111.9295441 33.4131558, -111.9295248 33.4131652, -111.9295022 33.4131612, -111.929486 33.413137, -111.9294635 33.4131235, -111.9294457 33.4131208, -111.9294263 33.4131262, -111.9294014 33.4131268, -111.9293989 33.4130588, -111.9294199 33.4130548, -111.9294435 33.4130649, -111.9294656 33.4130631, -111.9294812 33.4130494, -111.9294812 33.4130292, -111.9295045 33.4130139, -111.9295296 33.4130144, -111.9295506 33.4130333, -111.9295683 33.4130615, -111.9295958 33.4130696, -111.9296312 33.4130602, -111.9296359 33.4131258))",POINT (-111.9295154 33.4130905),207.4,2232.5
Vista Del Sol A (Community Center),143,256986557,,yes,,,,"POLYGON ((-111.9293377 33.4133228, -111.9293359 33.4129203, -111.9287463 33.4129221, -111.9287468 33.4130174, -111.9289815 33.4130167, -111.9289829 33.4133239, -111.9293377 33.4133228))",POINT (-111.9291194 33.4131014),1702.8,18329.1
